customerid,acquisitiondate,age,gender,churn,retentionperiod,companytype,acquisitioncost,totalspend,marketingchannel,customerinteractions,paymentmethod,billingissues,frequencyofbillingissues,city
809e2c71-eaba-4411-a908-f21674c5bd5c,2023-04-16,61,Female,0,531,Healthcare,"₹23,677","₹12,120",Word of Mouth,1,UPI,Yes,0,Delhi
4d77e18e-26ed-4515-96e1-6173da49825d,2023-09-22,32,Male,1,174,Retail,"₹24,522","₹9,767",Partner Website,31,UPI,Yes,0,Delhi
fa7a90c5-6c78-4927-acd7-0285d40868dc,2024-02-19,29,Female,0,230,Finance,"₹41,261","₹23,852",Email Campaign,31,Bank Transfer,Yes,8,Delhi
8d332feb-9162-460c-b3f8-fbd28f44e89f,2024-05-19,38,Male,0,490,Healthcare,"₹6,042","₹80,239",Instagram Ads,42,UPI,Yes,3,Delhi
ce1973b6-4f35-4039-83cb-55378f2f71d9,2024-04-28,42,Female,0,587,Manufacturing,"₹25,976","₹1,929",Facebook Ads,42,Bank Transfer,Yes,0,Delhi
7df1811b-3849-4070-8d55-068de559f55d,2024-08-31,29,Male,1,576,E-Commerce,"₹31,284","₹78,487",Partner Website,34,Bank Transfer,Yes,0,Delhi
f0f53086-28bc-4f94-9234-711f252d4334,2023-09-03,29,Female,0,282,Tech,"₹23,240","₹92,575",Email Campaign,9,UPI,No,0,Delhi
c7c31fa1-f4d5-43f1-81e7-caa3f6dadb9f,2024-07-02,53,Male,0,419,Manufacturing,"₹25,317","₹96,040",Email Campaign,22,UPI,No,0,Delhi
40b1f931-43d6-4767-920b-6f09fdd7dee9,2024-07-20,25,Male,0,623,Manufacturing,"₹48,096","₹18,438",Instagram Ads,13,Bank Transfer,Yes,3,Delhi
ce16f9c6-5070-463f-8019-808b8b48f6dd,2023-11-02,43,Female,1,285,E-Commerce,"₹16,552","₹49,515",Email Campaign,25,Bank Transfer,No,5,Delhi
f18ae874-24a1-405a-9b26-0616d41db41b,2024-01-06,37,Male,0,479,Tech,"₹35,653","₹6,744",Instagram Ads,48,UPI,Yes,0,Delhi
45f59840-57e5-49eb-ba3e-8732be81dcf5,2024-07-12,26,Male,0,39,Manufacturing,"₹47,576","₹84,820",Word of Mouth,18,UPI,Yes,1,Delhi
5689a40a-5151-46e4-b985-7c4ef6aa2e47,2023-08-01,30,Male,0,271,Healthcare,"₹1,171","₹43,417",Google Ads,12,Bank Transfer,Yes,0,Delhi
3c33842d-6780-4ac2-94b8-5b689eedd506,2023-04-23,22,Female,0,280,Healthcare,₹663,"₹8,069",Partner Website,40,Bank Transfer,Yes,0,Delhi
a7948544-1829-498b-98db-518d1863a552,2024-10-06,55,Male,1,34,Healthcare,"₹41,924","₹43,359",Referral Program,17,Bank Transfer,Yes,8,Delhi
1811b29f-29f9-43da-9369-5a109443ed36,2024-08-07,52,Male,0,148,Tech,"₹44,502","₹20,799",Google Ads,15,Credit Card,No,0,Delhi
b45ed2db-fc76-41bd-bf98-6a05d16db7fa,2023-01-10,56,Male,1,403,Manufacturing,"₹5,295","₹99,746",Partner Website,42,Bank Transfer,No,0,Delhi
90859e8a-0cc2-4bb3-acba-4cc37e845a1e,2023-12-22,23,Male,1,94,Consulting,"₹11,134","₹94,762",Instagram Ads,15,Credit Card,No,5,Delhi
d9856336-c10b-4969-953e-eac816a3597c,2023-06-11,51,Male,1,175,Tech,"₹5,298","₹71,188",Partner Website,15,UPI,No,1,Delhi
bd7d56c9-82c1-4135-a1f4-87497c70f2f7,2022-11-18,55,Male,0,253,Healthcare,"₹22,920","₹90,859",Word of Mouth,39,UPI,Yes,0,Delhi
6909ffdc-51d5-4cad-b8b3-df5660d34927,2023-11-18,21,Female,1,268,E-Commerce,"₹29,800","₹8,597",Instagram Ads,13,Bank Transfer,No,0,Delhi
ba84dc71-51ba-4173-aab8-471f8abaf190,2024-05-06,41,Female,0,206,Manufacturing,"₹24,845","₹48,093",Google Ads,17,UPI,Yes,1,Delhi
cfcb2f6c-45ef-4d04-944f-352bcf6c269a,2024-03-16,36,Male,1,311,Manufacturing,"₹11,249","₹38,226",Facebook Ads,32,UPI,No,0,Delhi
3365eec9-076c-4113-ad53-10a76e4f6b57,2024-07-10,50,Male,1,92,Education,"₹39,095","₹73,127",Facebook Ads,9,UPI,No,0,Delhi
bb7f6ae1-9f70-46ef-8576-c832911cbf82,2024-04-14,42,Male,1,246,Education,"₹25,621","₹92,369",Direct Traffic,40,UPI,No,2,Delhi
f80efd0b-0789-49e7-95b5-5285a4d478b6,2024-09-13,33,Male,1,718,Retail,"₹37,987","₹78,362",Direct Traffic,20,Credit Card,No,2,Delhi
b508e0c1-bf01-40c2-a201-f9c4ebc68647,2023-02-24,32,Male,1,490,Consulting,"₹28,911","₹27,417",Partner Website,26,Credit Card,Yes,5,Delhi
c90aa67d-7837-49ba-9fba-559699c581a0,2022-12-22,28,Female,1,639,Consulting,"₹33,861","₹19,693",Facebook Ads,27,Bank Transfer,No,7,Delhi
1b8e0360-ea6e-47e7-9f90-11655df773d1,2023-06-22,23,Female,1,134,Finance,"₹21,723","₹80,674",Instagram Ads,21,Bank Transfer,No,1,Delhi
5f9f98fd-d730-43f6-abaa-7af458862bf5,2023-05-08,19,Female,1,128,Consulting,"₹7,894","₹54,161",Email Campaign,18,Bank Transfer,Yes,1,Delhi
9e2a6a34-4c6d-4a08-a105-2a2625ecd5a6,2023-01-05,24,Female,0,540,Education,"₹14,556","₹3,169",Instagram Ads,13,UPI,Yes,0,Delhi
49dc9bb3-151b-49fc-8eb4-9f8ae21a8be8,2023-11-08,30,Female,0,414,Tech,"₹28,880","₹85,092",Email Campaign,16,UPI,No,0,Delhi
259a4f3e-c4a4-4524-8c61-9509ad33c0ef,2023-05-15,52,Female,1,434,Consulting,"₹26,535","₹23,052",Google Ads,9,Credit Card,Yes,2,Delhi
b0de213a-7f0e-4e86-938b-d4bb58e34e75,2023-04-26,40,Female,1,547,Education,"₹31,120","₹72,849",Referral Program,12,Credit Card,Yes,1,Delhi
a1b1a5e6-0fe7-4dce-9f4d-9eb15a685106,2023-07-24,61,Female,1,505,Retail,"₹20,377","₹74,851",Email Campaign,44,Bank Transfer,Yes,0,Delhi
a95468e4-108d-466b-b1c2-48bfeef40c01,2024-03-09,53,Female,0,674,Manufacturing,"₹43,904","₹9,036",Facebook Ads,38,Credit Card,No,0,Delhi
8e7686fe-9cd3-4313-96f2-852bbed06979,2024-06-08,46,Female,1,466,Consulting,"₹31,411","₹32,778",Instagram Ads,19,Credit Card,Yes,0,Delhi
39432f56-7235-4f93-9a84-024233ed4423,2024-06-12,35,Female,0,52,Retail,"₹33,284","₹28,734",Google Ads,7,Credit Card,No,8,Delhi
1bfe1828-2229-4ba8-b11b-b6e2ccca632b,2024-08-29,41,Female,0,594,Manufacturing,"₹3,691","₹24,173",Facebook Ads,35,Credit Card,No,2,Delhi
14c778ac-2e7a-4143-b818-aa8ba718035c,2023-10-21,22,Male,0,706,E-Commerce,"₹33,660","₹31,403",Google Ads,48,Credit Card,No,0,Delhi
ed44eb25-3988-48d6-a93c-e50b6cf985fb,2024-07-13,29,Male,0,487,E-Commerce,"₹25,500","₹67,321",Referral Program,18,Bank Transfer,No,8,Delhi
cfe8d1a3-d03f-44c6-b0cf-ceea7b3c56c9,2022-12-24,57,Male,0,112,Manufacturing,"₹39,540","₹72,675",Word of Mouth,16,Bank Transfer,Yes,1,Delhi
8126bfb5-ba4c-412a-9980-def903cb1235,2023-12-20,50,Female,1,174,Consulting,"₹4,131","₹7,344",Instagram Ads,39,Credit Card,No,7,Delhi
4e6ad9d4-41f3-4be2-a33e-132af4d7ce6f,2023-12-14,20,Male,1,114,Finance,"₹6,672","₹19,800",Partner Website,4,Bank Transfer,Yes,0,Delhi
06a89309-5175-4a02-a9d4-7c31c9e2f6e5,2023-10-02,62,Male,1,107,Education,"₹42,580","₹26,372",Instagram Ads,25,UPI,No,0,Delhi
cefd684a-ecaf-4c27-bb0e-f1af6c434570,2024-06-03,38,Female,1,486,Tech,"₹24,061","₹62,516",Direct Traffic,32,Credit Card,Yes,6,Delhi
5d3a1a42-c89c-4a37-b4c7-38b175aa4cd2,2023-03-05,38,Male,1,30,Tech,"₹25,317","₹21,538",Referral Program,40,UPI,No,6,Delhi
ab3c4a7f-db49-4b10-818a-8673e622ccd6,2024-04-12,64,Female,0,80,Healthcare,"₹20,781","₹64,918",Instagram Ads,13,Bank Transfer,Yes,7,Delhi
512f12c3-2da9-407e-bfe5-aab099406678,2023-05-10,49,Male,1,714,Manufacturing,"₹29,171","₹15,973",Direct Traffic,45,Bank Transfer,No,3,Delhi
b43321a9-1937-4915-82f2-3eb6dbfffe6d,2023-11-23,32,Male,1,475,Tech,"₹25,864","₹72,155",Partner Website,17,UPI,No,6,Delhi
2eebed13-619a-4b97-9783-df17057f9b4e,2023-04-16,18,Female,0,478,Consulting,"₹42,174","₹60,500",Email Campaign,49,Bank Transfer,Yes,0,Delhi
d5cf84a6-b0f9-448e-be0d-89d8f5a6dcd3,2024-10-04,55,Male,1,517,Finance,"₹27,925","₹37,575",Google Ads,37,Credit Card,No,7,Delhi
e07a690f-34e7-46de-a1f6-7ee4c05953d2,2023-11-15,28,Male,0,63,Manufacturing,"₹29,102","₹43,261",Partner Website,6,UPI,No,7,Delhi
192cbe3a-5db9-499d-8c01-77f9fac50389,2023-12-04,49,Male,1,377,Finance,"₹23,753","₹28,716",Facebook Ads,19,Credit Card,No,8,Delhi
32a62025-82b3-4e15-93a3-c532603edcb8,2023-10-12,28,Female,0,124,Consulting,"₹23,972","₹4,236",Referral Program,13,UPI,Yes,0,Delhi
74a5738f-66af-46ce-b82a-743eb91896b1,2024-01-25,61,Female,1,101,Tech,"₹49,730","₹16,848",Email Campaign,26,Bank Transfer,No,0,Delhi
db8544c6-cf6a-48f5-90b0-c4230e9c3542,2024-09-27,62,Female,1,580,Tech,"₹8,580","₹3,352",Facebook Ads,14,UPI,No,5,Delhi
2d93e1c4-7ccc-4e8c-a64c-5e59cad8c0c0,2023-04-09,44,Female,0,183,Healthcare,"₹7,599","₹2,932",Facebook Ads,31,UPI,Yes,0,Delhi
e64c9aa6-9c9a-48de-84bf-8a1d8d82c319,2022-12-31,61,Male,0,279,Tech,"₹25,931","₹77,449",Referral Program,4,Credit Card,Yes,0,Delhi
e50ca2f3-95c4-4c98-aff8-cae4fabf944d,2024-06-21,43,Male,0,703,Manufacturing,"₹31,686","₹9,556",Email Campaign,39,Bank Transfer,Yes,0,Delhi
ed93d0fa-d3c0-425e-b09d-1177d632d7da,2023-06-24,49,Male,0,467,Consulting,"₹48,184","₹87,836",Word of Mouth,8,Credit Card,Yes,0,Delhi
66ff6b35-f72d-457c-8ff7-cb13e74dec61,2023-11-21,36,Female,0,147,E-Commerce,"₹30,611","₹6,498",Facebook Ads,25,Bank Transfer,Yes,0,Delhi
ca9d5ecb-8dd7-434d-9fe0-781e4eab1f46,2022-12-31,52,Male,0,335,Consulting,"₹40,351","₹77,118",Facebook Ads,13,Credit Card,No,0,Delhi
