customerid,acquisitiondate,age,gender,churn,retentionperiod,companytype,acquisitioncost,totalspend,marketingchannel,customerinteractions,paymentmethod,billingissues,frequencyofbillingissues,city
83a80edd-3913-4d3c-bc1b-c5f55b6405ca,2023-11-14,30,Female,1,644,Finance,"₹26,068","₹91,945",Email Campaign,31,Credit Card,Yes,6,Mumbai
919da8dc-0063-4a2d-9531-f45df819a1b1,2024-05-28,65,Female,1,153,Manufacturing,"₹1,541","₹90,062",Referral Program,6,UPI,Yes,0,Mumbai
2db8ec09-4959-4df5-8386-e009d91df4d5,2023-02-01,35,Female,0,39,Finance,"₹40,195","₹56,152",Direct Traffic,11,UPI,No,0,Mumbai
b684da9f-58fc-4216-a339-0c7d60761697,2023-10-09,36,Male,0,358,Education,"₹49,663","₹90,001",Google Ads,13,Bank Transfer,Yes,0,Mumbai
01dcfd31-298a-41c6-b531-be44225ff529,2024-06-17,34,Male,1,216,Manufacturing,"₹30,599","₹97,491",Direct Traffic,12,UPI,Yes,9,Mumbai
c9b84fd4-2bf0-4dae-9eef-e05623f5f31d,2023-03-01,59,Female,1,572,Finance,"₹24,864","₹93,321",Referral Program,2,Credit Card,No,8,Mumbai
f950d57e-c035-4d70-9141-8cc4f5b9c9b8,2024-04-16,21,Male,1,697,Finance,"₹41,139","₹87,569",Facebook Ads,35,Bank Transfer,Yes,0,Mumbai
c7908cc7-5d2a-472d-adc4-8b0caf5150f5,2023-10-17,59,Male,1,89,Retail,"₹39,643","₹73,467",Partner Website,36,UPI,Yes,0,Mumbai
c7f48d7c-d257-4bf7-b0b1-7a7c76fe9a30,2024-07-19,40,Male,0,471,Finance,"₹23,982","₹53,576",Email Campaign,17,UPI,Yes,0,Mumbai
e05821cc-26b0-46e2-a463-2b5f2ff13c99,2022-12-31,56,Male,1,246,E-Commerce,"₹4,176","₹67,627",Partner Website,28,Bank Transfer,Yes,0,Mumbai
e8eb860d-cf65-445c-a3a6-be3a8e98155a,2023-03-11,56,Female,0,31,Education,"₹46,285","₹26,772",Email Campaign,28,UPI,No,4,Mumbai
